sentence1,sentence2,similarity,predicted_similarity
Two dogs and one cat sitting on couch.,Two dogs and a cat resting on a couch.,0.92,0.8484848484848484
Two men are taking a break from a trip on a snowy road,Two men are taking a break from a trip on a road covered by snow,0.98,0.8444444444444444
"The woman is wearing a red jacket and holding a glass in front of the man in a t-shirt, which is white",The woman is wearing a red jacket and holding a glass in front of the man in a white t-shirt,1.0,0.909090909090909
A white dog is standing on the leaves on the ground,A white dog is standing on fallen leaves,0.94,0.8666666666666666
Two dogs are running in the field.,Two dogs running in a field.,1.0,1.0
The panda bear lay on the logs.,A panda is lying down.,0.7200000000000001,0.7777777777777778
A famous singer is dancing on the ceiling,A great singer is dancing on the ceiling,0.86,0.8333333333333334
A man is patting an alligator on the mouth,A person is dropping chopped vegetables into a pot on the stove,0.2,0.23333333333333325
"An old, topless woman is covered in paint","A young, topless woman is covered in paint",0.76,0.8666666666666666
A black dog in the snow is jumping off the ground and catching a stick,A dog is jumping for a Frisbee in the snow,0.6,0.6969696969696969
There is no large group of cheerleaders walking in a parade,"The cheerleaders are parading and wearing black, pink and white uniforms",0.74,0.4722222222222222
A few women are holding each other and dancing together,Two men are playing table football,0.2,0.3703703703703704
A man is dancing on the ceiling,A great singer is dancing on the ceiling,0.78,0.5714285714285714
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,0.7076,0.6666666666666666
A boy is wearing all black and is sliding down a blow up yellow slide,A boy is wearing all black and is sliding down a blow up slide,0.86,0.794871794871795
The woman is measuring the other woman,A woman is being measured by another woman,0.98,0.5714285714285714
A man is jumping into an empty pool,There is no biker jumping in the air,0.24,0.380952380952381
I have the same thing.,I have had the same problem.,0.8,0.0
A black and orange bird is standing in the grass,The black bird with a yellow beak is standing in the green grass,0.8,0.7222222222222222
A carrot is being sliced into pieces by a person,A person is cutting an onion into pieces,0.64,0.75
The black and white dog is running and a person stands behind it,A little dog is slowing down and the owner is quitting chasing it,0.58,0.5641025641025641
A brown and white dog is running through the tall grass,A brown and white dog is moving through the wild grass,0.8800000000000001,0.888888888888889
A woman is ignoring a man,A woman is looking curiously at a man,0.6,0.6666666666666667
You have to decide what you want to get out of this.,You have to find out what works for you.,0.8,0.6
A black and white dog is playing with a ruined volleyball in a brown field,A black and white dog is playing with a broken volleyball,0.86,0.8928571428571429
A lion is pacing tiredly in a pen,The lion is pacing tiredly in the pen,0.98,1.0
A young girl with dirt on her face and a red child's bike is in the background.,The old woman in shorts and a white t-shirt is standing on a path watching children play.,0.16,0.30000000000000004
A dog that has a brown and white coat is trotting through shallow water,A brown and white coat is floating across shallow water near a trotting dog,0.58,0.8235294117647058
You are on the right path.,You're right on about the sample definition.,0.0,0.4
Israel bars Palestinians from Jerusalem's Old City,"Two-state solution between Palestinians, Israel pie in sky",0.2,0.35555555555555557
There are three options:,There are only three options:,1.0,1.0
A man with a white moustache is standing on a balcony and is looking at the road below,A man is hanging on the ledge of a balcony,0.6799999999999999,0.5606060606060607
A boy is jumping off a platform and two other boys are standing and watching,A boy is jumping off a platform and two other boys are standing and staring at him,0.96,0.7619047619047618
There is no woman penciling on eyeshadow,The woman is penciling on eyeshadow,0.72,1.0
A small camouflaged airplane parked in the grass.,A small dog wearing a pink shirt tied to a railing.,0.0,0.16666666666666666
A brown dog and a black dog are playing in the sand,A black dog is playing with a brown dog on the sand,1.0,0.8333333333333334
A female DJ holds up a Michael Jackson album.,a girl holding a picture of Michael Jackson smiling,0.6000000000000001,0.5833333333333334
The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.,NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning.,0.5,0.3888888888888889
"Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.",MONY shares rose 8.76 per cent to $31.90 in after-hours trading in New York.,0.65,0.2948717948717949
Group of people sitting around a restaurant dining table.,A group of people sitting at a restaurant table.,0.96,0.861111111111111
"He playfully chided the Senate's ""little bitty tax relief plan.""",We don't need a little bitty tax relief plan.,0.7000000000000001,0.6274509803921569
Something is being fried by a woman,A woman is frying something,0.96,0.6666666666666666
A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,0.6799999999999999,1.0
"The grotto with a pink interior is being climbed by four middle eastern children, three girls and one boy",A group of kids is playing on a colorful structure,0.6,0.2745098039215686
Vegetables are being mixed in a pot by a man,A person is stirring vegetables in a pot,0.86,0.625
25 bodies found at raided Algerian gas plant,25 more bodies found at Algerian gas plant,0.8800000000000001,0.9230769230769231
The rhino is grazing on the grass,There is no rhino grazing on the grass,0.5599999999999999,1.0
A man is passionately playing a guitar in front of an audience,A woman is passionately playing a guitar in front of an audience,0.78,0.888888888888889
A middle eastern man is standing with the back against a lamp post near to other people,A man is leaning against a pole and is surrounded by people,0.8400000000000001,0.47619047619047616
A woman is slicing ginger.,A person is holding two baby lorises.,0.0,0.16666666666666666
"Reuters witnesses said many houses had been flattened and the city squares were packed with crying children and the homeless, huddled in blankets to protect them from the cold.","Reuters witnesses said public squares were packed with crying children and people left homeless, huddled in blankets to protect them from the cold.",0.65,0.774193548387097
Now you don't have to be perfect on every answer.,You don't have to know.,0.4,0.25
A small guinea pig is gnawing and eating a piece of carrot on the floor,A guinea pig is devouring a carrot,0.9,0.5833333333333334
A man is standing in the water at the base of a waterfall,The man is standing in a body of water near a waterfall,0.8400000000000001,0.909090909090909
A young girl with a heart tank top is raising her hands as she is playing on a slide,A young girl with a heart tank top is raising her hands as she is sliding,0.94,0.9705882352941175
A woman is frying fish,A woman is cooking fish,0.8800000000000001,0.8333333333333334
A man with a backwards hat is sitting on the ground,A person with a backwards hat is sitting on the ground,0.92,0.9
The man is erasing the other man's work from the board,The girl is erasing the other man's work from the board,0.64,0.6666666666666666
The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.",0.7200000000000001,0.6222222222222222
A man dressed in black is wearing an elaborate black mask,A mask is being held by a man in his raised hand,0.64,0.5555555555555556
"""It is about a third of what I owe in the world,"" he told reporters.","It ain't coming to me, but it's only about a third of what I owe in the world.",0.75,0.5454545454545454
A man is standing in front of the window and looking outside.,A man is staring out the window.,0.76,0.5555555555555556
A man is cycling.,A boy is riding a bicycle.,0.5,0.6
A Seadoo is being ridden by a woman,A woman is riding a Seadoo,1.0,0.6666666666666666
A dog with a golden coat is swimming clumsily through the water,A dog with a golden coat is swimming through the water,0.86,0.9393939393939394
A man is crouching down next to a dog and is smiling at a little girl sitting on the sidewalk,A woman is showing a small dog to an infant,0.5,0.5
Some of what you can do:,Not much you can do besides:,0.2,0.0
Gunmen kidnap airline pilots in Lebanon,Gunmen kidnap 2 Turkish Airlines pilots in Lebanon,0.8400000000000001,0.8333333333333334
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,0.68,0.8571428571428571
Two women are dancing and singing in front of many people,The women are singing and dancing,0.9,0.6
There is no man walking along a path through a wilderness,A man is peeling an onion,0.2,0.25
The kid is happily sliding in the snow,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,0.8,0.35555555555555557
A man is standing still,A man is dancing,0.52,0.4
A brown dog is jumping.,A brown dog is jumping,1.0,1.0
A man is playing an electric guitar,A group of people is holding drinks and pointing at the camera,0.2,0.23333333333333325
Two white puppies are playing near a pool,Two white dogs are running together,0.64,0.696969696969697
A person is peeling an onion,Onions are being sliced by the person,0.74,0.6666666666666666
The man is rock climbing,A man is cooking a snake,0.2,0.33333333333333326
From what I understand this is what you can do :,Can you do this?,0.4,0.0
Two kids are sitting on colorful balls,The children are wearing black tights and hopping,0.32,0.4666666666666666
A man is sitting near a flower bed and is overlooking a tunnel,A woman is sitting near a flower bed and is overlooking a tunnel,0.76,0.9047619047619048
"A dog, which is large and gray, is dropping a ball from its mouth and stopping in the grass","A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",0.52,0.803921568627451
A white puppy is biting a pole,A brown puppy is biting a pole,0.7,0.8333333333333334
I had the same problem as you.,I have just had the same problem.,1.0,1.0
An older man and a woman are riding bikes on the boardwalk near the ocean,A middle aged man and woman are riding bikes down a road beside the water,0.78,0.6078431372549019
"Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.","His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.",0.7200000000000001,0.7160493827160496
"They can be out of level by a bit, but flat is important.","Yes, although they can be a bit sour.",0.0,0.5416666666666666
The player is missing the basket and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,0.78,0.6666666666666667
A person is riding a motorbike in the event related to motocross,A motocross rider is giving a motorbike to a person at an event,0.7,0.638888888888889
A car is driven down the road.,A girl is walking down a road.,0.24,0.5
Two women are wearing bikinis and are walking on the sand,Two women are wearing bikinis on the beach which is sandy,0.8800000000000001,0.6666666666666666
You don't have to know.,You don't have to do anything to season it.,0.0,0.22222222222222224
A woman is dancing in the rain.,A woman dances in the rain out side.,1.0,0.8571428571428571
A person is bowling the ingredients to the man at the mixer,Some ingredients are being mixed in a bowl by a person,0.5599999999999999,0.7222222222222222
A young girl in swimming suite is jumping on the beach,A girl with a bikini is playing in the dunes,0.64,0.36666666666666664
An okapi is eating from a tree.,A moose drinks from a sprinkler.,0.0666,0.11111111111111112
France warns of extremists benefiting from Egypt violence,France fears extremists will benefit from Egypt violence,0.8800000000000001,0.8333333333333334
A flute is being played by a girl,There is no woman playing a flute,0.6799999999999999,0.8333333333333334
South Korean soldier reportedly flees after killing 5 comrades at border with North Korea,South Korean Soldier Kills Comrades And Flees,0.8,0.7058823529411765
Defiant Mugabe sworn in for seventh term blasts 'vile' West,Mugabe sworn in for another term,0.8,0.33333333333333337
"Southwest said its traffic was up 4.6 percent in the quarter, and it ended the quarter with $2.2 billion in cash.",Southwest said its traffic was up 4.6 percent in the quarter on a capacity increase of 4.2 percent.,0.6352000000000001,0.5151515151515152
A woman is standing with a pair of dogs,A woman is marching with a pair of dogs,0.82,0.8333333333333334
A woman is tapping her fingers nervously,A woman is tapping her fingers,0.92,0.8571428571428571
A woman is using a sewing machine,There is no woman using a sewing machine,0.82,1.0
A man is slicing a red tomato,A man is slicing a bun,0.64,0.5714285714285714
The woman in the white sweater is not drawing a tattoo on the hand of a teenager,A girl is getting a tattoo on her hand,0.58,0.6666666666666666
It probably depends on the cut of meat.,It depends on the meat and how it's cut.,0.8,0.9047619047619048
A great dog is climbing a steep hill,A light brown dog is running up a street,0.52,0.4
"""The discovery that the MAP bug is present in the vast majority of Crohn's sufferers means it is almost certainly causing the intestinal inflammation,"" it said in a statement.",The researchers say that the fact the MAP bug is present in the vast majority of Crohns sufferers means it is almost certainly causing the intestinal inflammation.,0.92,0.8
A man is dancing on a roof ,A person is dancing on a roof,0.9,0.8333333333333334
"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.,0.76,0.7676767676767678
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,0.7200000000000001,0.696969696969697
The dog is jumping in the shade of some trees,A dog is jumping in the shade of some trees,0.98,1.0
A woman is washing her feet,A woman is brushing her feet,0.74,0.7777777777777778
It is snowing on two playing dogs,Two dogs are playing in the snow,0.8,1.0
Some men are sawing,Women are sawing logs,0.76,0.5333333333333333
Some racers are swimming in a lake,Several swimmers are jumping into the water,0.6799999999999999,0.23809523809523808
Three people are walking across a rope and steel bridge over a river,People are walking across a rope bridge over a rocky stream,0.72,0.7777777777777778
"Bangladesh collapse search over; death toll 1,127",Bangladesh collapse deaths top 620,0.6400000000000001,0.6060606060606061
Germany dodges recession with growth in first quarter,"Eurozone avoids recession in Q1, thanks to Germany",0.4,0.4722222222222222
A chubby faced boy is wearing sunglasses,A chubby faced boy is wearing dark glasses,0.9,0.7272727272727273
A group of racing dogs is wearing striped uniforms and is running down a track,A group of dogs are racing and have muzzles on their noses,0.78,0.7692307692307693
Erdogan's party submits plan for Turkish presidency,Erdogan's party aims for Turkish presidency,0.7200000000000001,0.6153846153846154
Two white dogs and one brown dog are chasing a ball,Two white dogs are playing with a brown dog and a ball,0.86,0.8222222222222223
A baby is playing a guitar,A guitar is being played by a baby,0.98,1.0
Five adults are sitting on stone steps,People is standing against a wall,0.36,0.16666666666666666
Four people rowing down a river.,Four people row a canoe in water.,0.8,0.7407407407407408
Two men talking in front of a plane.,Two men talking in front of a small plane.,0.8800000000000001,0.909090909090909
A woman is peeling a potato,There is no lady peeling the potato,0.8400000000000001,0.8333333333333334
A black cat is jumping from a hay ball to another hay ball,A black dog is jumping from n hay ball to another hay ball,0.64,0.5882352941176471
There is no woman slicing a clove of garlic,A woman is slicing a clove of garlic,0.76,1.0
A man in blue is riding a horse on a dirt road,A man in a blue cowboy hat is riding a black horse,0.8,0.6666666666666666
The two officers are driving,Two officers are on horses.,0.44,0.7777777777777778
London 2012 Olympics Opening Ceremony 'to feature a green and pleasant land',"London 2012 Olympics: Opening Ceremony to be a 'green and pleasant land', says Danny Boyle",0.8400000000000001,0.625
The boy isn't playing the piano happily,A boy is happily playing the piano,0.76,1.0
People are riding two camels at the beach,Two people are seated near a camel and another camel is in the foreground,0.7,0.5128205128205129
She was taken by ambulance to Charing Cross Hospital in Hammersmith.,"She was taken to Charing Cross Hospital, where she remained critically ill last night.",0.5599999999999999,0.5333333333333333
One woman is handing volleyballs to another woman,A woman is throwing volleyballs over a net,0.8,0.5333333333333334
A young child is splashing in the water,There is no young child splashing in the water,0.8,1.0
I was in a similar situation.,I had a similar situation.,1.0,1.0
A black hooded man is using a large magnifying glass to look at a booklet.,A white hooded woman is using a magnifying glass to look at a booklet.,0.5599999999999999,0.8235294117647058
Three people are meeting for coffee.,Two people make coffee.,0.48,0.6666666666666667
"Site Finder has been visited 65 million times since its introduction, Galvin said.","Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.",0.76,0.6031746031746031
The man is riding a horse,A horse is riding over a man,0.58,1.0
US says ready to help blind Chinese activist,U.S. ready to help Chinese activist: official,0.68,0.8055555555555556
I realized there is already an accepted answer but I figure I would add my 2 cents.,I know this is an old question but I feel I should add my 2 cents.,1.0,0.6145833333333333
The man is slicing a potato,The person is slicing the potato,0.92,0.8333333333333334
The answer to both questions is: Yes.,The answer to both of your questions is yes.,1.0,1.0
A man wearing black formal wear & a black top hat is riding a white show horse.,A man with a top hat riding a white horse.,0.7200000000000001,0.6578947368421053
Three women cook.,Two women cooking.,0.6400000000000001,0.7777777777777778
A man is doing pull-ups,The man is exercising,0.92,0.5333333333333333
People making a structure out of cards.,Two people are together and one is using a piece of clothing in a different way than intended.,0.04,0.33333333333333326
Two skiing people are doing cross country skiing.,People skiing cross country.,0.7200000000000001,0.8
"The giant rock was first observed on August 24 by Lincoln Near-Earth Asteroid Research Program, based in Socorro, New Mexico.","The rock was first observed by the Lincoln Near Earth Asteroid Research Program, also known as LINEAR.",0.75,0.7011494252873564
A topless boy has a clean face,A blond child is holding a yellow bottle,0.3399999999999999,0.2962962962962963
The man is not slicing a potato,The man is slicing a potato,0.78,1.0
A boy is checking a calendar,A boy is throwing away a calendar,0.6799999999999999,0.6666666666666667
The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.,The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.,1.0,0.9411764705882353
A dog with a blue collar is playing with the ball in the garden,A grey dog is bouncing a soccer ball on its head in a grass field,0.58,0.45238095238095244
A man is jumping off a low wall,A man is jumping a wall,0.8400000000000001,0.8571428571428571
A moped in front of steps of ruins.,A moped in front of ruins.,0.8800000000000001,0.8571428571428571
A young boy is playing a wind instrument,A kid is playing an instrument,0.8400000000000001,0.625
A group of people is on a beach,A group of people is near the sea,0.8,0.5714285714285714
The person is not standing on white ice,The person is standing on white ice,0.72,1.0
"Syrian forces shell towns, clash with rebels",Syrian forces and rebels clash in coastal province,0.52,0.7878787878787878
A white bike and a yellow bike are racing down the track,Two race cars are on a road in front of a grassy parking area,0.38,0.35714285714285715
"Bremer, 61, is a onetime assistant to former Secretaries of State William P. Rogers and Henry Kissinger and was ambassador-at-large for counterterrorism from 1986 to 1989.","Bremer, 61, is a former assistant to former Secretaries of State William P. Rogers and Henry Kissinger.",0.6000000000000001,0.5698924731182796
Heatley was sixth in the league in goals last season with 41 and ninth in points with 89.,Heatley led Atlanta in scoring last season with a team-record 41 goals and 48 assists.,0.6000000000000001,0.463768115942029
A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,0.78,0.888888888888889
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,0.96,0.8148148148148147
Two women in a clothing store.,Two women in a sailboat.,0.16,0.5714285714285714
A woman is riding on an elephant,An elephant is being ridden by a woman,0.98,1.0
Some instruments are being played by a band,A band is playing some instruments,1.0,1.0
KL shares higher at mid-afternoon,KL shares lower at mid-morning,0.32,0.4444444444444445
A man is abruptly falling off a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,0.6799999999999999,0.3555555555555555
A boy in a white t-shirt is splashing in shallow water,There is no boy in a white t-shirt splashing in shallow water,0.6,0.8571428571428571
"In that case, the court held that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.","In that case, the court held that the city of Cincinnati had violated the First Amendment in banning, in the interest of aesthetics, only the advertising pamphlets.",1.0,0.96
This answer is based on my experience teaching undergraduate math in the US.,This answer is based on experience I did not researched for references.,0.4,0.5454545454545454
"I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours. ","I remained under the banyan tree, exhausted by my daily ritual of herding the cats every two hours. ",0.6000000000000001,0.8636363636363636
A big brown dog and a small grey dog are standing on a rocky surface,A woman is cutting onions,0.2,0.16666666666666666
A dog is standing with its two front paws on a rock in a field,A black climber is rocking a dog,0.48,0.484848484848485
A man is standing on the ground with a paintbrush,A man with a crutch lying on the ground.,0.24,0.5833333333333334
A person is wearing grey pants on a snowboard,A snowboarding man is jumping through the air,0.7,0.4814814814814815
A lady is wearing a black dress and is carrying a white cross,A lady is dressed in black and is carrying a white cross,0.9,0.9615384615384617
MIER ups 2012 growth forecast to 4.2pc,CMIE cuts 2012-13 growth forecast to 6.3%,0.16,0.2857142857142857
A group of people are wearing police uniforms conducting an arrest.,A group of police officers are wearing protection.,0.5599999999999999,0.6666666666666666
A frog is being held carelessly by a man,A man is carelessly holding a frog,0.96,1.0
The baby is crawling happily,A baby is crawling happily,0.98,1.0
A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,0.48,0.4102564102564103
"The children are playing in front of a door, which is very large",The children are playing in front of a large door,0.98,1.0
A man is playing a guitar on stage,A bald person is playing a guitar,0.76,0.7083333333333334
Two football players are scrambling for the ball on the court,Two basketball players are scrambling for the ball on the court,0.6,0.875
A little girl wearing a pink shirt is playing t-ball and taking a swing,A little girl in a pink shirt is playing t-ball and taking a swing,0.98,0.8771929824561404
"The answers so far are already good, but I'd like to add a map for Switzerland:","You have a lot of answers already, but I'd like to add Curries as another solutions.",0.0,0.5185185185185186
A woman is water skiing.,A woman is slicing fish.,0.08,0.33333333333333326
It rather depends on which country you're in.,That depends on which country you are in.,1.0,0.8666666666666666
A man is erasing a chalk board.,"A woman is dancing, and singing.",0.0728,0.09523809523809522
Pussy Riot member Alyokhina released from jail in Russia,Pussy Riot member Maria Alyokhina freed from jail,0.8800000000000001,0.7142857142857144
A girl in a strange outfit is riding the bike,The bike is being ridden by a girl in a strange outfit,1.0,1.0
I think you're looking for Mikey (1992).,I think you're looking for the movie,0.6000000000000001,0.4444444444444445
A woman is removing the peel of a potato,A woman is peeling a potato,0.98,0.8571428571428571
A man on a bike is riding on the shore,A person is riding a bicycle in the sand beside the ocean,0.8,0.5
The key thing to realize here is that it's not your job to make people do their work.,It really isn't your problem how they are going to find a qualified person to do the job.,0.2,0.45238095238095244
The child is splashing water in a small blue pool,The child is splashing water in a pool,0.9,0.8333333333333334
A man is severing the toe of an empty leather boot with a sword,A man is cutting a boot with a blade,0.8400000000000001,0.6666666666666666
A yellow bird is eating fruit on a wire grate.,A yellow bird eating fruit on a bird feeder.,0.5599999999999999,0.6666666666666666
Floods in central Europe continue to create havoc,Europe floods continue to create havoc,0.92,0.909090909090909
A woman is swiftly snowboarding down an incline and another woman is standing behind her,A woman is snowboarding down an incline and another woman is standing behind her,0.98,0.8222222222222223
"Barbini's comments came Tuesday, the second day of the Ministerial Conference and Expo on Agricultural Science and Technology.",U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.,0.36,0.5517241379310345
A woman in blue has a yellow ball in the mitt,The man in blue is chasing the base runner with a number on the jersey,0.3399999999999999,0.3888888888888888
A dog running on the grass,Two dogs are running on the grass.,0.52,0.8571428571428571
A woman is posing for a Christmas card.,A girl is taking a photo.,0.24,0.23809523809523808
A black and white dog is running through the grass.,A tan dog is walking through snow.,0.4,0.4444444444444445
A person wearing a helmet rides a bike near a white structure.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,0.24,0.47058823529411764
A man is stopping in the middle of a road,The man is walking along a path through the wilderness,0.54,0.4444444444444445
A baby elephant is eating a small tree.,A little girl peddling a scooter.,0.0,0.33333333333333326
Some women are dancing and singing ,A woman is dancing and singing with other women,0.96,0.8571428571428571
A boy is surfing and riding a wave,A blond girl is riding the waves,0.72,0.625
Child holding an object that is on fire.,A child in pink holds an object that appears to be on fire.,0.8,0.8
"The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager.""","Ebbers' lawyer, Reid Weingarten, said despite the thorough investigation, ""the best the investigators can do is nitpick about the process and substance of isolated business decisions.""",0.7000000000000001,0.5208333333333334
"Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.","Some 34.7 million shares have been tendered, Oracle said in a statement.",0.75,0.6666666666666666
There is no brown duck with a green head flapping its wings in the water,A bird is flapping its wings on the water,0.52,0.6363636363636364
A player is throwing the ball,A player is running with the ball,0.7,0.7777777777777778
Two cats are looking at a window.,A white cat looking out of a window.,0.52,0.8333333333333334
A man is peeling a potato.,A man is slicing a potato.,0.52,0.6666666666666666
A man and two women in a darkened room are sitting at a table with candles,The group of people is sitting in a room which is dim,0.9,0.5641025641025641
A group of teenagers jumping and having a good time.,A group of kids having a good time.,0.7200000000000001,0.7777777777777778
Some horses are racing furiously over the green grass and jumping an obstacle,"The Jockeys are slowing down their horses on the field, which is completely green",0.6,0.46153846153846156
A motorcycle racer is riding a red and black bike,A man is leaning on a racing motorcycle,0.6799999999999999,0.6
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,0.6000000000000001,0.4666666666666666
Someone is drawing.,Someone is dancing.,0.06,0.6666666666666666
Some fish are swimming quickly,A fish is swimming,0.86,0.8
The consensus among Wall Street analysts was for a loss of 28 cents a share.,Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.,0.6000000000000001,0.4545454545454545
Israel Forces Kill 2 Palestinian Militants,Israeli army kills Palestinian militant in raid,0.6400000000000001,0.6111111111111112
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,0.5,0.5185185185185186
A woman is playing the violin,The violin is being played by a woman,0.98,1.0
"The single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro's launch in January 1999.","The single currency rose as far as 135.26 yen , its highest level since the introduction of the single currency in January 1999.",0.7000000000000001,0.5444444444444444
Two cats sitting on a couch looking out the window.,A cat looking out of a window.,0.52,0.7037037037037037
The women are trying to sell something to the individual.,The men are trying to make some money.,0.24,0.4814814814814815
A kid sits on a soccer ball outside.,A kid sitting on a soccer ball at the park.,0.8400000000000001,0.8666666666666666
"Syria regime claims evacuation of 5,000 near Damascus",Syria army continues mop-up operations near Damascus,0.32,0.4
A man is riding a horse,There is no man riding a horse,0.8800000000000001,1.0
"A Washington County man may have the countys first human case of West Nile virus, the health department said Friday.",The countys first and only human case of West Nile this year was confirmed by health officials on Sept. 8.,0.6000000000000001,0.6666666666666669
A white bird is landing swiftly in the water,A large white crane is flying near the water,0.72,0.484848484848485
A dog is leaping high in the air and another is watching,Two dogs are playing by a plant,0.5599999999999999,0.4333333333333333
The trumpet is being played by a man,A man is playing the trumpet,0.94,1.0
The little girl is swinging and the woman is standing behind her,A small child is showing excitement on a swing set at the park,0.58,0.33333333333333326
There is no woman slicing tofu,A woman is slicing tofu,0.72,1.0
The girl is tapping her fingernails,A girl is tapping her fingernails,0.98,1.0
A person is watching people ski down the hill.,The woman is jumping a long distance while people watch.,0.2799999999999999,0.484848484848485
The men are not fist fighting in a ring,Two men are fist fighting in a ring,0.62,0.888888888888889
South Korea declares end to MERS outbreak,North Korea Delegation Meets With South Korean Officials,0.0,0.4102564102564103
A man is playing a guitar.,A man is singing while playing the guitar.,0.7200000000000001,0.8571428571428571
The tan dog is watching a brown dog that is swimming in a pond,There is no pet dog standing on the bank and looking at another brown dog in the pond,0.5,0.5
"There are a total of 659 women enrolled at the academy, the report said.",There were 659 women enrolled at the academy at the time of the survey.,0.92,0.5384615384615384
A man on a motorcycle is riding on a track and waving,The person on the motorcycle is not holding up an arm,0.7,0.4444444444444445
A woman is slicing tofu,A woman is cutting tofu,0.96,1.0
A cyclist on a yellow bike is airborne,There is no cyclist on a yellow bike airborne,0.78,1.0
Southwest jet hit nose first,Southwest Jet's Nose Gear Landed First,0.7200000000000001,0.7222222222222222
A little boy is sitting in a green tunnel with a smile on his face,A little boy in a striped shirt is sliding out of a green tube,0.6599999999999999,0.5238095238095238
A young girl with painted face is standing next to some other children,Kids are being dressed in costumes and playing a game,0.53,0.41666666666666663
Someone is playing a piano,Someone is playing the guitar,0.62,0.7777777777777778
A man spins on a surf board.,A man is putting barbecue sauce on chicken.,0.0,0.22222222222222224
A tan dog is jumping up and catching a tennis ball,There is no tan dog jumping up and catching a tennis ball,0.6599999999999999,1.0
A young child is running down a road made of gravel that is covered with dead leaves,A young child is running outside over the fallen leaves,0.76,0.6444444444444444
A sheep beside a road and a lake.,A sheep is on the edge of a road with a lake and a mountain in the background.,0.6000000000000001,0.6
The person is slicing onions,A person is peeling an onion,0.8,0.6666666666666666
US authorities charge man in ricin probe,South African police arrest 50 in farm protest,0.0,0.15384615384615385
Two men are outside a cattle pen,Two men are fighting in a cow pasture,0.6599999999999999,0.5666666666666667
The woman is picking up a baby kangaroo,The woman is picking up the kangaroo,0.96,0.9047619047619048
A man is playing a guitar.,A man is playing a keyboard.,0.36,0.6666666666666666
"I would say you can do it, but it wouldn't be advised.","Personally, I would say not unless it suits you.",0.4,0.2962962962962963
"You just have to base your answer on what you do know, which is what you want.",You have to do what is right for you.,0.4,0.26666666666666666
A man who is playing is running with the ball in his hands,A player is running with the ball,0.86,0.7916666666666666
There is no test that can tell you if it is sealed or not.,There is no code telling you that you cannot do this.,0.0,0.4
Someone is slicing a onion.,Someone is carrying a fish.,0.15,0.4444444444444445
The turtle is following the fish,The fish is following the turtle,0.76,1.0
An empty office cubicle.,An empty office chair in a cubicle.,0.6000000000000001,0.8571428571428571
It's also a matter of taste.,It's mostly a matter of taste.,1.0,0.7777777777777778
Black and white cow standing near pile of snow.,a black and white cow standing in the field.,0.6400000000000001,0.75
"The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.",The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.,0.16,0.2962962962962963
A man running on a track.,a man running track,1.0,1.0
A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,0.733,0.9166666666666666
